#NUM,TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT,TEXT
id,textId,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust,icon,name,tips,baseTipValue,isAoe,firstSpell,tipsDescription,tipsCurlvl,tipsNextlvl
20,attackMetalStabStrong,attackMetalStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalStabStrongName,attackMetalStabStrongTips,1.8,0,,attackMetalStabStrongDescription,attackMetalStabStrongCurlvl,attackMetalStabStrongNextlvl
21,attackPlantStabSlight,attackPlantStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabSlightName,attackPlantStabSlightTips,1.3,0,,attackPlantStabSlightDescription,attackPlantStabSlightCurlvl,attackPlantStabSlightNextlvl
22,attackPlantStabMedium,attackPlantStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabMediumName,attackPlantStabMediumTips,1.5,0,,attackPlantStabMediumDescription,attackPlantStabMediumCurlvl,attackPlantStabMediumNextlvl
23,attackPlantStabStrong,attackPlantStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabStrongName,attackPlantStabStrongTips,1.8,0,,attackPlantStabStrongDescription,attackPlantStabStrongCurlvl,attackPlantStabStrongNextlvl
24,attackWaterStabSlight,attackWaterStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabSlightName,attackWaterStabSlightTips,1.3,0,,attackWaterStabSlightDescription,attackWaterStabSlightCurlvl,attackWaterStabSlightNextlvl
25,attackWaterStabMedium,attackWaterStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabMediumName,attackWaterStabMediumTips,1.5,0,,attackWaterStabMediumDescription,attackWaterStabMediumCurlvl,attackWaterStabMediumNextlvl
26,attackWaterStabStrong,attackWaterStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabStrongName,attackWaterStabStrongTips,1.8,0,,attackWaterStabStrongDescription,attackWaterStabStrongCurlvl,attackWaterStabStrongNextlvl
27,attackFireStabSlight,attackFireStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabSlightName,attackFireStabSlightTips,1.3,0,,attackFireStabSlightDescription,attackFireStabSlightCurlvl,attackFireStabSlightNextlvl
28,attackFireStabMedium,attackFireStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabMediumName,attackFireStabMediumTips,1.5,0,,attackFireStabMediumDescription,attackFireStabMediumCurlvl,attackFireStabMediumNextlvl
29,attackFireStabStrong,attackFireStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabStrongName,attackFireStabStrongTips,1.8,0,,attackFireStabStrongDescription,attackFireStabStrongCurlvl,attackFireStabStrongNextlvl
30,attackEarthStabSlight,attackEarthStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabSlightName,attackEarthStabSlightTips,1.3,0,,attackEarthStabSlightDescription,attackEarthStabSlightCurlvl,attackEarthStabSlightNextlvl
31,attackEarthStabMedium,attackEarthStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabMediumName,attackEarthStabMediumTips,1.5,0,,attackEarthStabMediumDescription,attackEarthStabMediumCurlvl,attackEarthStabMediumNextlvl
32,attackEarthStabStrong,attackEarthStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabStrongName,attackEarthStabStrongTips,1.8,0,,attackEarthStabStrongDescription,attackEarthStabStrongCurlvl,attackEarthStabStrongNextlvl
33,attackMetalSmashSlight,attackMetalSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashSlightName,attackMetalSmashSlightTips,1.3,0,,attackMetalSmashSlightDescription,attackMetalSmashSlightCurlvl,attackMetalSmashSlightNextlvl
34,attackMetalSmashMedium,attackMetalSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashMediumName,attackMetalSmashMediumTips,1.5,0,,attackMetalSmashMediumDescription,attackMetalSmashMediumCurlvl,attackMetalSmashMediumNextlvl
35,attackMetalSmashStrong,attackMetalSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashStrongName,attackMetalSmashStrongTips,1.8,0,,attackMetalSmashStrongDescription,attackMetalSmashStrongCurlvl,attackMetalSmashStrongNextlvl
36,attackPlantSmashSlight,attackPlantSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashSlightName,attackPlantSmashSlightTips,1.3,0,,attackPlantSmashSlightDescription,attackPlantSmashSlightCurlvl,attackPlantSmashSlightNextlvl
37,attackPlantSmashMedium,attackPlantSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashMediumName,attackPlantSmashMediumTips,1.5,0,,attackPlantSmashMediumDescription,attackPlantSmashMediumCurlvl,attackPlantSmashMediumNextlvl
38,attackPlantSmashStrong,attackPlantSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashStrongName,attackPlantSmashStrongTips,1.8,0,,attackPlantSmashStrongDescription,attackPlantSmashStrongCurlvl,attackPlantSmashStrongNextlvl
39,attackWaterSmashSlight,attackWaterSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashSlightName,attackWaterSmashSlightTips,1.3,0,,attackWaterSmashSlightDescription,attackWaterSmashSlightCurlvl,attackWaterSmashSlightNextlvl
40,attackWaterSmashMedium,attackWaterSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashMediumName,attackWaterSmashMediumTips,1.5,0,,attackWaterSmashMediumDescription,attackWaterSmashMediumCurlvl,attackWaterSmashMediumNextlvl
41,attackWaterSmashStrong,attackWaterSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashStrongName,attackWaterSmashStrongTips,1.8,0,,attackWaterSmashStrongDescription,attackWaterSmashStrongCurlvl,attackWaterSmashStrongNextlvl
42,attackFireSmashSlight,attackFireSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashSlightName,attackFireSmashSlightTips,1.3,0,,attackFireSmashSlightDescription,attackFireSmashSlightCurlvl,attackFireSmashSlightNextlvl
43,attackFireSmashMedium,attackFireSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashMediumName,attackFireSmashMediumTips,1.5,0,,attackFireSmashMediumDescription,attackFireSmashMediumCurlvl,attackFireSmashMediumNextlvl
44,attackFireSmashStrong,attackFireSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashStrongName,attackFireSmashStrongTips,1.8,0,,attackFireSmashStrongDescription,attackFireSmashStrongCurlvl,attackFireSmashStrongNextlvl
45,attackEarthSmashSlight,attackEarthSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashSlightName,attackEarthSmashSlightTips,1.3,0,,attackEarthSmashSlightDescription,attackEarthSmashSlightCurlvl,attackEarthSmashSlightNextlvl
46,attackEarthSmashMedium,attackEarthSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashMediumName,attackEarthSmashMediumTips,1.5,0,,attackEarthSmashMediumDescription,attackEarthSmashMediumCurlvl,attackEarthSmashMediumNextlvl
47,attackEarthSmashStrong,attackEarthSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashStrongName,attackEarthSmashStrongTips,1.8,0,,attackEarthSmashStrongDescription,attackEarthSmashStrongCurlvl,attackEarthSmashStrongNextlvl
48,attackMetalSlight,attackMetalSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSlightName,attackMetalSlightTips,1.3,0,,attackMetalSlightDescription,attackMetalSlightCurlvl,attackMetalSlightNextlvl
49,attackPlantSlight,attackPlantSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSlightName,attackPlantSlightTips,1.3,0,,attackPlantSlightDescription,attackPlantSlightCurlvl,attackPlantSlightNextlvl
50,attackWaterSlight,attackWaterSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSlightName,attackWaterSlightTips,1.3,0,,attackWaterSlightDescription,attackWaterSlightCurlvl,attackWaterSlightNextlvl
51,attackFireSlight,attackFireSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSlightName,attackFireSlightTips,1.3,0,,attackFireSlightDescription,attackFireSlightCurlvl,attackFireSlightNextlvl
52,attackEarthSlight,attackEarthSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSlightName,attackEarthSlightTips,1.3,0,,attackEarthSlightDescription,attackEarthSlightCurlvl,attackEarthSlightNextlvl
53,magicMetalBallSlight,magicMetalBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallSlightName,magicMetalBallSlightTips,1.3,0,,magicMetalBallSlightDescription,magicMetalBallSlightCurlvl,magicMetalBallSlightNextlvl
54,magicMetalBallMedium,magicMetalBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallMediumName,magicMetalBallMediumTips,1.5,0,,magicMetalBallMediumDescription,magicMetalBallMediumCurlvl,magicMetalBallMediumNextlvl
55,magicMetalBallStrong,magicMetalBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallStrongName,magicMetalBallStrongTips,1.8,0,,magicMetalBallStrongDescription,magicMetalBallStrongCurlvl,magicMetalBallStrongNextlvl
56,magicMetalColumnSlight,magicMetalColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnSlightName,magicMetalColumnSlightTips,1.3,0,,magicMetalColumnSlightDescription,magicMetalColumnSlightCurlvl,magicMetalColumnSlightNextlvl
57,magicMetalColumnMedium,magicMetalColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnMediumName,magicMetalColumnMediumTips,1.5,0,,magicMetalColumnMediumDescription,magicMetalColumnMediumCurlvl,magicMetalColumnMediumNextlvl
58,magicMetalColumnStrong,magicMetalColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnStrongName,magicMetalColumnStrongTips,1.8,0,,magicMetalColumnStrongDescription,magicMetalColumnStrongCurlvl,magicMetalColumnStrongNextlvl
59,magicPlantBallSlight,magicPlantBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallSlightName,magicPlantBallSlightTips,1.3,0,,magicPlantBallSlightDescription,magicPlantBallSlightCurlvl,magicPlantBallSlightNextlvl
60,magicPlantBallMedium,magicPlantBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallMediumName,magicPlantBallMediumTips,1.5,0,,magicPlantBallMediumDescription,magicPlantBallMediumCurlvl,magicPlantBallMediumNextlvl
61,magicPlantBallStrong,magicPlantBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallStrongName,magicPlantBallStrongTips,1.8,0,,magicPlantBallStrongDescription,magicPlantBallStrongCurlvl,magicPlantBallStrongNextlvl
62,magicPlantColumnSlight,magicPlantColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnSlightName,magicPlantColumnSlightTips,1.3,0,,magicPlantColumnSlightDescription,magicPlantColumnSlightCurlvl,magicPlantColumnSlightNextlvl
63,magicPlantColumnMedium,magicPlantColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnMediumName,magicPlantColumnMediumTips,1.5,0,,magicPlantColumnMediumDescription,magicPlantColumnMediumCurlvl,magicPlantColumnMediumNextlvl
64,magicPlantColumnStrong,magicPlantColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnStrongName,magicPlantColumnStrongTips,1.8,0,,magicPlantColumnStrongDescription,magicPlantColumnStrongCurlvl,magicPlantColumnStrongNextlvl
65,magicWaterBallSlight,magicWaterBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallSlightName,magicWaterBallSlightTips,1.3,0,,magicWaterBallSlightDescription,magicWaterBallSlightCurlvl,magicWaterBallSlightNextlvl
66,magicWaterBallMedium,magicWaterBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallMediumName,magicWaterBallMediumTips,1.5,0,,magicWaterBallMediumDescription,magicWaterBallMediumCurlvl,magicWaterBallMediumNextlvl
67,magicWaterBallStrong,magicWaterBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallStrongName,magicWaterBallStrongTips,1.8,0,,magicWaterBallStrongDescription,magicWaterBallStrongCurlvl,magicWaterBallStrongNextlvl
68,magicWaterColumnSlight,magicWaterColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnSlightName,magicWaterColumnSlightTips,1.3,0,,magicWaterColumnSlightDescription,magicWaterColumnSlightCurlvl,magicWaterColumnSlightNextlvl
69,magicWaterColumnMedium,magicWaterColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnMediumName,magicWaterColumnMediumTips,1.5,0,,magicWaterColumnMediumDescription,magicWaterColumnMediumCurlvl,magicWaterColumnMediumNextlvl
70,magicWaterColumnStrong,magicWaterColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnStrongName,magicWaterColumnStrongTips,1.8,0,,magicWaterColumnStrongDescription,magicWaterColumnStrongCurlvl,magicWaterColumnStrongNextlvl
71,magicFireBallSlight,magicFireBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallSlightName,magicFireBallSlightTips,1.3,0,,magicFireBallSlightDescription,magicFireBallSlightCurlvl,magicFireBallSlightNextlvl
72,magicFireBallMedium,magicFireBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallMediumName,magicFireBallMediumTips,1.5,0,,magicFireBallMediumDescription,magicFireBallMediumCurlvl,magicFireBallMediumNextlvl
73,magicFireBallStrong,magicFireBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallStrongName,magicFireBallStrongTips,1.8,0,,magicFireBallStrongDescription,magicFireBallStrongCurlvl,magicFireBallStrongNextlvl
74,magicFireColumnSlight,magicFireColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnSlightName,magicFireColumnSlightTips,1.3,0,,magicFireColumnSlightDescription,magicFireColumnSlightCurlvl,magicFireColumnSlightNextlvl
75,magicFireColumnMedium,magicFireColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnMediumName,magicFireColumnMediumTips,1.5,0,,magicFireColumnMediumDescription,magicFireColumnMediumCurlvl,magicFireColumnMediumNextlvl
76,magicFireColumnStrong,magicFireColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnStrongName,magicFireColumnStrongTips,1.8,0,,magicFireColumnStrongDescription,magicFireColumnStrongCurlvl,magicFireColumnStrongNextlvl
77,magicEarthBallSlight,magicEarthBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallSlightName,magicEarthBallSlightTips,1.3,0,,magicEarthBallSlightDescription,magicEarthBallSlightCurlvl,magicEarthBallSlightNextlvl
78,magicEarthBallMedium,magicEarthBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallMediumName,magicEarthBallMediumTips,1.5,0,,magicEarthBallMediumDescription,magicEarthBallMediumCurlvl,magicEarthBallMediumNextlvl
79,magicEarthBallStrong,magicEarthBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallStrongName,magicEarthBallStrongTips,1.8,0,,magicEarthBallStrongDescription,magicEarthBallStrongCurlvl,magicEarthBallStrongNextlvl
80,magicEarthColumnSlight,magicEarthColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnSlightName,magicEarthColumnSlightTips,1.3,0,,magicEarthColumnSlightDescription,magicEarthColumnSlightCurlvl,magicEarthColumnSlightNextlvl
81,magicEarthColumnMedium,magicEarthColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnMediumName,magicEarthColumnMediumTips,1.5,0,,magicEarthColumnMediumDescription,magicEarthColumnMediumCurlvl,magicEarthColumnMediumNextlvl
82,magicEarthColumnStrong,magicEarthColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnStrongName,magicEarthColumnStrongTips,1.8,0,,magicEarthColumnStrongDescription,magicEarthColumnStrongCurlvl,magicEarthColumnStrongNextlvl
83,magicMetalSlight,magicMetalSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalSlightName,magicMetalSlightTips,1.3,0,,magicMetalSlightDescription,magicMetalSlightCurlvl,magicMetalSlightNextlvl
84,magicPlantSlight,magicPlantSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantSlightName,magicPlantSlightTips,1.3,0,,magicPlantSlightDescription,magicPlantSlightCurlvl,magicPlantSlightNextlvl
85,magicWaterSlight,magicWaterSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterSlightName,magicWaterSlightTips,1.3,0,,magicWaterSlightDescription,magicWaterSlightCurlvl,magicWaterSlightNextlvl
86,magicFireSlight,magicFireSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireSlightName,magicFireSlightTips,1.3,0,,magicFireSlightDescription,magicFireSlightCurlvl,magicFireSlightNextlvl
87,magicEarthSlight,magicEarthSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthSlightName,magicEarthSlightTips,1.3,0,,magicEarthSlightDescription,magicEarthSlightCurlvl,magicEarthSlightNextlvl
88,magicCureSlight,magicCureSlighte1,0,0,0,35,2,0.01,icon_magicCureSlight,magicCureSlightName,magicCureSlightTips,0.54,0,,magicCureSlightDescription,magicCureSlightCurlvl,magicCureSlightNextlvl
89,magicCureMedium,magicCureMediume1,0,0,0,35,2,0.01,icon_magicCureMedium,magicCureMediumName,magicCureMediumTips,0.62,0,,magicCureMediumDescription,magicCureMediumCurlvl,magicCureMediumNextlvl
90,magicCureStrong,magicCureStronge1,0,0,0,35,2,0.01,icon_magicCureStrong,magicCureStrongName,magicCureStrongTips,0.75,0,,magicCureStrongDescription,magicCureStrongCurlvl,magicCureStrongNextlvl
91,buffSpeed,buffSpeede1,0,0,0,35,5,0,icon_buffSpeed,buffSpeedName,buffSpeedTips,0,0,,buffSpeedTips,,
92,buffSpeedSelf,buffSpeedSelfe1,0,0,0,35,5,0,icon_buffSpeedSelf,buffSpeedSelfName,buffSpeedSelfTips,0,0,,buffSpeedSelfTips,,
93,buffMagic,buffMagice1,0,0,0,35,5,0,icon_buffMagic,buffMagicName,buffMagicTips,0,0,,buffMagicTips,,
94,buffMagicSelf,buffMagicSelfe1,0,0,0,35,5,0,icon_buffMagicSelf,buffMagicSelfName,buffMagicSelfTips,0,0,,buffMagicSelfTips,,
95,buffAttack,buffAttacke1,0,0,0,35,5,0,icon_buffAttack,buffAttackName,buffAttackTips,0,0,,buffAttackTips,,
96,buffDefense,buffDefensee1,0,0,0,35,5,0,icon_buffDefense,buffDefenseName,buffDefenseTips,0,0,,buffDefenseTips,,
97,buffAttackSelf,buffAttackSelfe1,0,0,0,35,5,0,icon_buffAttackSelf,buffAttackSelfName,buffAttackSelfTips,0,0,,buffAttackSelfTips,,
98,buffDefenseSelf,buffDefenseSelfe1,0,0,0,35,5,0,icon_buffDefenseSelf,buffDefenseSelfName,buffDefenseSelfTips,0,0,,buffDefenseSelfTips,,
99,debuffDefense,debuffDefensee1,0,0,0,35,6,0,icon_debuffDefense,debuffDefenseName,debuffDefenseTips,0,0,,debuffDefenseTips,,
100,phydazhaoPrepare,phydazhaoPreparee1,0,0,0,0,10,0,,,,0,0,,,,
101,magicdazhaoPrepare,magicdazhaoPreparee1,0,0,0,0,10,0,,,,0,0,,,,
102,buffHot,buffHote1,0,0,0,35,12,0,icon_buffHot,buffHotName,buffHotTips,0,0,,buffHotTips,,
103,debuffAttack,debuffAttacke1,0,0,0,35,6,0,icon_debuffAttack,debuffAttackName,debuffAttackTips,0,0,,debuffAttackTips,,
104,debuffMagic,debuffMagice1,0,0,0,35,6,0,icon_debuffMagic,debuffMagicName,debuffMagicTips,0,0,,debuffMagicTips,,
105,debuffSpeed,debuffSpeede1,0,0,0,35,6,0,icon_debuffSpeed,debuffSpeedName,debuffSpeedTips,0,0,,debuffSpeedTips,,
106,physicdebuffFireDotSlight,physicdebuffFireDotSlighte1,0,0,0,35,11,0.003,icon_debuffFireDotSlight,physicdebuffFireDotSlightName,physicdebuffFireDotSlightTips,0.7,0,,physicdebuffFireDotSlightDescription,physicdebuffFireDotSlightCurlvl,physicdebuffFireDotSlightNextlvl
107,physicdebuffFireDotMedium,physicdebuffFireDotMediume1,0,0,0,35,11,0.003,icon_debuffFireDotMedium,physicdebuffFireDotMediumName,physicdebuffFireDotMediumTips,0.8,0,,physicdebuffFireDotMediumDescription,physicdebuffFireDotMediumCurlvl,physicdebuffFireDotMediumNextlvl
108,physicdebuffFireDotStrong,physicdebuffFireDotStronge1,0,0,0,35,11,0.003,icon_debuffFireDotStrong,physicdebuffFireDotStrongName,physicdebuffFireDotStrongTips,0.97,0,,physicdebuffFireDotStrongDescription,physicdebuffFireDotStrongCurlvl,physicdebuffFireDotStrongNextlvl
109,physicdebuffWaterDotSlight,physicdebuffWaterDotSlighte1,0,0,0,35,11,0.003,icon_debuffWaterDotSlight,physicdebuffWaterDotSlightName,physicdebuffWaterDotSlightTips,0.7,0,,physicdebuffWaterDotSlightDescription,physicdebuffWaterDotSlightCurlvl,physicdebuffWaterDotSlightNextlvl
110,physicdebuffWaterDotMedium,physicdebuffWaterDotMediume1,0,0,0,35,11,0.003,icon_debuffWateDotMedium,physicdebuffWateDotMediumName,physicdebuffWateDotMediumTips,0.8,0,,physicdebuffWaterDotMediumDescription,physicdebuffWaterDotMediumCurlvl,physicdebuffWaterDotMediumNextlvl
111,physicdebuffWaterDotStrong,physicdebuffWaterDotStronge1,0,0,0,35,11,0.003,icon_debuffWateDotStrong,physicdebuffWateDotStrongName,physicdebuffWateDotStrongTips,0.97,0,,physicdebuffWaterDotStrongDescription,physicdebuffWaterDotStrongCurlvl,physicdebuffWaterDotStrongNextlvl
112,physicdebuffPlantDotSlight,physicdebuffPlantDotSlighte1,0,0,0,35,11,0.003,icon_debuffPlantDotSlight,physicdebuffPlantDotSlightName,physicdebuffPlantDotSlightTips,0.7,0,,physicdebuffPlantDotSlightDescription,physicdebuffPlantDotSlightCurlvl,physicdebuffPlantDotSlightNextlvl
